word,clue,is_technical_word,is_common_english,is_plural,categories,obscure
COADAPTATION,"To adapt together, like species in an evolving ecosystem",False,True,False,"biology,evolution",False
COADAPTATIONS,A process where organisms evolve to better fit their environment.,False,True,True,"biology,evolution",False
COADAPTED,Transformed in a way that suits all aspects,False,True,False,wordformation,False
COADAPTING,To adjust and adapt simultaneously,False,True,False,verb,False
COADEQUATE,"Meeting the needs, not lacking in any way",False,True,False,"abstract,noun",False
COADJACENCE,The state of being adjacent to another element,False,True,False,science,False
COADJACENCY,Adjacent to another entity without sharing a border or common edge.,False,True,False,"graph theory, geometry",False
COADJACENT,"Adjacent to, touching or bordering on",False,True,False,"adj, adjacent",False
COADJUTANT,"Assistant or helper, especially to an official",False,True,False,"role,assist",False
COADJUTATOR,An individual who assists in adjusting or modifying another's approach or perspective,False,True,False,"occupation, role",False
COADJUTOR,A person who assists in governing or guiding,False,True,False,"person, title",False
COADJUTORS,"Helpful assistants, working together to aid and support",False,True,False,"part-of-speech,field-of-study",False
COADJUTORSHIP,A position of assisting an archbishop or bishop in their duties,False,True,False,"religion, government",False
COADJUMENT,"A term used in legal documents, meaning jointly or together",False,True,False,"legal,jargon,language",False
COADMINISTRATOR,Joint manager of an estate or organization,False,True,False,"title,management,hierarchy",False
COADMIRE,Share admiration together,False,True,False,"verb,language,wordplay,puzzle",False
COADNATE,"A term meaning to help or assist, with the prefix 'co-' implying together.",False,True,False,"verb,language,synonyms",False
COADUNATE,"To come together, merge or unite in a harmonious manner",False,True,False,"verb,language,communication",False
COADUNATED,Verb. To come together; congregate.,False,True,False,"verb,language,grammar",False
COADUNATION,"The act of joining together, often in a religious context",False,True,False,"verb,language,religion",False
COADVENTURE,"A collaborative adventure, often in video games",False,True,False,"video-games,online-multiplayer,collaboration",False
COADVENTURED,"Jointly embarked on an adventure, in law",False,True,False,"legal,maritime,joint,adventure",False
COADVENTURER,Fellow traveler on a daring quest,False,True,False,"noun,traveler,adventure,companion",False
COAEVAL,A phrase meaning 'contemporary' or 'of the same age',False,True,False,"grammar,language,adjectives",False
COAEVALS,What comes after 'co-' in words describing contemporaries,False,True,True,"grammar,language,etymology",False
COAFFOREST,What do you call a big group of trees,False,True,False,"nature,landscapes,biodiversity,hiking,camping",False
COAGEL,"A substance that has solidified, like gelatin",False,True,False,"chemistry,biochemistry,crossword,puzzle",False
COAGENCIES,What you might find in an industry trade association,False,True,True,"plural,nouns,industry,terms",False
COAGULA,"It's a clot, not to be confused with a clogula!",False,True,False,"blood,biology,surgery",False
COAGULATE,"Thicken and clot, as blood does",False,True,False,"verb,science,medicine,chemistry,biochemistry",False
COAGULATED,"Clotted or congealed, as blood",False,True,False,"verb,biochemistry",False
COAGULATES,What blood does when it turns from liquid to solid,False,True,False,"biology,medical,science,terms",False
COAKUM,What's left after a fire goes out,False,True,False,"noun,material,fuel",False
COAL,"A dark, hard mineral used for heat and power generation",False,True,False,"mineral,fuel,energy,industrial",False
COALA,"A misspelling of 'coal', often found in the wild",False,True,False,"animal,misspelling",False
COALAS,Lumps of black mineral fuel,False,True,False,"mining,materials,fuels",False
COALBAG,Sack for carrying fuel to the hearth,False,True,False,"container,fuel,mining",False
COALBAGGER,"A person who delivers coal, or a tricky riddle you might find yourself in!",False,True,False,"occupations,riddles",False
COALBIN,Storage box for heating fuel,False,True,False,"mining,miscellaneous,geology",False
COALBINS,"A place where coal is stored, often outdoors",False,True,False,"building,storage,outdoor",False
COALBOX,"A chest full of warmth, hidden treasure's box",False,True,False,"container,nautical,metaphor,mining",False
COALBOXES,What you might find scattered around a Victorian household,False,True,True,"plural,noun,furniture,Victorian,era,household",False
COALDEALER,Merchant who trades in black mineral fuel,False,True,False,"occupation,trade,sale,energy",False
COALED,Like a fire that's been burning for a while,False,True,False,"verb,fire,smoke,heat",False
COALERS,"Those who gather coal, perhaps",False,True,True,"plural,nouns,miners,energy",False
COALESCED,"Like droplets merging into one, this verb means to gather together.",False,True,False,"verb,language,communication",False
COALFIELD,A land rich in black gold beneath,False,True,False,"mining,geology,energy,fossil_fuels",False
COALFISH,"A fish that's not coal, but similar in name",False,True,False,"fish,nautical",False
COALFISHES,"A school of fish, not made of coal.",False,True,True,"animals,fish,marine_life",False
COALFITTER,Worker who installs coal-burning equipment,False,True,False,"occupation,mining",False
COALHOLE,"A hole in the ground, filled with coal",False,True,False,"mining,coal,pits,hole",False
COALIER,"Like a ship loaded with coal, this person delivers fuel",False,True,False,"noun,shipping,coal,mining",False
COALING,What ships do to protect their hulls from damage,False,True,False,"nautical,shipping,maritime,ocean,water,seafaring",False
COALITION,"A united group, not an individual's collection",False,True,False,"politics,social,group,unity,collaboration",False
COALITIONER,"One who forms alliances, like a political party with common goals",False,True,False,"noun,politics,alliances,forming,groups",False
COALITIONS,Alliances formed to achieve common goals,False,True,True,"politics,social,leadership,teamwork",False
COALIZER,One who converts something into coal,False,True,False,"occupation,noun,verb",False
COALLESS,"Without coal, like a fire without fuel",False,True,False,"adjective,fuel,energy",False
COALMONGER,"One who deals in coal, a tricky sort",False,True,False,"noun,synonym,person,trade,coal",False
COALPIT,"A dark, dangerous place to mine coal from",False,True,False,"mine,coal,mining,dangerous,underground",False
COALPITS,Mine shafts where black rock is extracted,False,True,True,"mining,geology,industry,coal,underground",False
COALRAKE,"A chimney that brings coal to a fire, without any tricks",False,True,False,"building,furnishing,heating",False
COALS,What's left after coal has been burned,False,True,True,"minerals,materials,fuels",False
COALSHED,Outbuilding for storing fuel,False,True,False,"building,resources,industry,mining",False
